,Models,Accuracy,Precision,Recall,F1_score
0,Desicion Tree,0.9581898454746137,0.9584677391233765,0.9581898454746137,0.9583187336777265
1,Random Forest,0.9581898454746137,0.9584677391233765,0.9581898454746137,0.9583187336777265
2,K Nearest Neigbhours,0.8977924944812362,0.898565372737319,0.8977924944812362,0.8948612232826805
3,Support Vector Machines,0.931346578366446,0.9311228156064808,0.931346578366446,0.9297244903979633
4,Gradient Boosting,0.968167770419426,0.9676206691087672,0.968167770419426,0.9675861949286284
5,AdaBoost,0.8526710816777042,0.8012804030539856,0.8526710816777042,0.8235771271941227
6,XGBoost,0.9735099337748344,0.9731059902098658,0.9735099337748344,0.9732016047977073
