alpha,delta,u,g,r,i,z,cam_col,class,redshift,plate,MJD
5.59426691051943,0.139083772370098,22.03138,21.03268,20.07739,19.64677,19.37896,4,GALAXY,0.2880541,4219,55480
15.1731327326416,-6.36376265084267,25.98026,22.76439,20.84574,19.72769,19.06375,6,GALAXY,0.5484555,7156,56959
127.270682658309,19.6724622641087,23.14354,21.76209,19.95079,19.13606,18.57599,5,GALAXY,0.3728077,4483,55587
38.3258901517579,-3.76682603571173,21.46732,20.73737,20.75849,20.75842,20.56014,4,STAR,-0.0005327224,4386,55540
39.7244001858115,-0.587740454926259,21.08614,20.65918,19.9245,19.51583,19.30347,2,GALAXY,0.4551183,1070,52591
